"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err","celltype","direction"
"GO:0006949","syncytium formation",56,0.702437889995216,2.82481390454473,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=61%, list=12%, signal=54%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0140253","cell-cell fusion",56,0.702437889995216,2.82481390454473,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=61%, list=12%, signal=54%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0014902","myotube differentiation",65,0.673864253109772,2.8239831897209,1e-10,2.47714285714286e-08,1.77235695122861e-08,1094,"tags=66%, list=17%, signal=55%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/MAML1/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/HDAC5/PPP3CB/RPL15/RPL35/RPL27/RPL18A/RPL41/NACA/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/SKI/RPL23A",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0006941","striated muscle contraction",74,0.647189911298043,2.79164376064236,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=55%, list=12%, signal=49%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0060142","regulation of syncytium formation by plasma membrane fusion",52,0.711363457445582,2.77502624246518,1e-10,2.47714285714286e-08,1.77235695122861e-08,1405,"tags=81%, list=22%, signal=64%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/RPL9/RPL23/RPL32/RPL17/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/RPL15/RPL35/RPL27/RPL18A/RPL41/RPL19/RPL36/UBA52/RPL29/RPL13/RPL13A/RPL23A/RPL37A/RPL14/MAPK14/RPL8/TYROBP",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0006936","muscle contraction",103,0.564471778521918,2.63359763252485,1e-10,2.47714285714286e-08,1.77235695122861e-08,783,"tags=44%, list=12%, signal=39%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/GNAS/C12orf57/RPL9/SRI/RPL23/BIN1/RPL32/AKAP9/GRK2/RPL17/RPL34/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/HSP90AA1/RPL39/RPL12/RPL30/RPL10/RPL7A/RPL37/TMOD3/RPL15/RPL35/RPL27/APBB1/RPL18A/RPL41/PABPN1/MAP2K1/RPL19/RPL36/UBA52",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0002181","cytoplasmic translation",174,0.530563422300413,2.60838142644414,1e-10,2.47714285714286e-08,1.77235695122861e-08,1120,"tags=44%, list=17%, signal=37%","RPL7/EIF2D/RPL4/RPS10/RPS24/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPS20/RPL22/RPS2/RPL11/RPL21/RPS28/RPL9/PABPC1/RPL23/RPS15A/EEF1D/HNRNPU/RPL32/RPL26/DDRGK1/RPS27A/RPL17/RPL34/RPS7/RPS23/RPS14/RPL10A/RPL24/EEF2/RPL38/RPL18/RPL35A/RPS21/RPS16/RPS13/RPL39/RACK1/RPL12/RPL30/RPL10/RPL7A/RPL37/RPS8/RPS12/ASCC2/RPL15/RPL35/RPL27/RPL18A/RPL41/RPSA/RPS3A/RNF25/RPS25/RPL19/RPL36/UBA52/NCBP1/RPS4X/RPS3/RPS19/RPS6/RPL29/RPL13/RPL13A/USP10/ZC3H15/DHX9/RPS15/RPL23A/RPS9",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0051146","striated muscle cell differentiation",89,0.588633378418076,2.60525068034265,1e-10,2.47714285714286e-08,1.77235695122861e-08,1122,"tags=55%, list=17%, signal=46%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/RPL32/RPL17/FLII/MAML1/RPL34/RPL10A/RPL24/RPL38/RPL18/RPL35A/RPL39/RPL12/RPL30/RPL10/MTLN/RPL7A/RPL37/HDAC5/TMOD3/PPP3CB/RPL15/RPL35/RPL27/RPL18A/RPL41/NACA/RPL19/RPL36/UBA52/SIRT6/RPL29/RPL13/RPL13A/TGFB1/SKI/RPL23A/PDLIM5",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0042692","muscle cell differentiation",118,0.555677307426134,2.57272090720764,1e-10,2.47714285714286e-08,1.77235695122861e-08,1363,"tags=56%, list=21%, signal=45%","RPL7/RPL4/RPL31/RPL36A/RPL6/RPL5/RPLP2/RPL11/RPL21/CD81/RPL9/RPL23/BIN1/QKI/RPL32/RPL17/FLII/MAML1/RPL34/ID2/RPL10A/RPL24/ACTN1/RPL38/RPL18/RPL35A/RPL39/ACTN4/RPL12/RPL30/PTBP1/RPL10/MTLN/RPL7A/RPL37/HDAC5/TMOD3/PPP3CB/RPL15/RPL35/RPL27/RPL18A/ZNHIT1/RPL41/TMEM204/NACA/RPL19/RPL36/UBA52/SIRT6/RPL29/RPL13/RPL13A/TGFB1/SKI/RPL23A/CCNT2/PDLIM5/SYNE1/MRTFA/WDR1/MECP2/RPL37A/RPL14/MAPK14/RPL8",NA,"Cytotoxic_NK_gamma_delta_T","HL"
"GO:0034242","negative regulation of syncytium formation by plasma membrane fusion",46,0.758968765371441,2.93296123507694,1e-10,4.71444444444444e-08,3.50131560322325e-08,2121,"tags=80%, list=19%, signal=65%","RPL31/RPL9/RPL21/RPL36A/RPL30/RPL19/RPLP2/RPL7A/RPL23/RPL14/RPL6/RPL12/RPL11/RPL28/RPL5/RPL7/RPL27/UBA52/RPL18/RPL29/RPL37/RPL39/RPL34/RPL15/RPL32/RPL13/RPL41/RPL36/RPL17/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0",NA,"Cytotoxic_gamma_delta_T","HL"
"GO:1901740","negative regulation of myoblast fusion",46,0.758968765371441,2.93296123507694,1e-10,4.71444444444444e-08,3.50131560322325e-08,2121,"tags=80%, list=19%, signal=65%","RPL31/RPL9/RPL21/RPL36A/RPL30/RPL19/RPLP2/RPL7A/RPL23/RPL14/RPL6/RPL12/RPL11/RPL28/RPL5/RPL7/RPL27/UBA52/RPL18/RPL29/RPL37/RPL39/RPL34/RPL15/RPL32/RPL13/RPL41/RPL36/RPL17/RPL35A/RPL38/RPL10/RPL8/RPL24/RPL18A/RPL35/RPLP0",NA,"Cytotoxic_gamma_delta_T","HL"
